,BUDGET REPORT
,Type of budget:,,Construction project budget
,Bulk company:,,N01 Real Estate AS
,Tennant
,Periode:,,2025-2026,,"Yellow background = UNSURE, depending on contract signature with CTS"
,Report per:,,7. April 2026,,,Red text = changed from last time








Item no.,Cost Element,Budget,Deviations,Budget with Deviations,,Booked per 07/04-26,Expected accrued Accumulated - payment,Remaining :,Apr. 26
100,CTS costs +S,764 628 753,228 493 637,,993 122 390
100,CTS milestone penalties,,(10 000 000),,(10 000 000)
102,Operational investments/costs
125,WS fit-out (I),150 000,(109 932 538),,40 067 462
105,Generators,207 236 000,20 000 000,,227 236 000
106,Chillers,76 730 395,,,76 730 395
11,PDGs,231 642 880,11 000 000,,242 642 880
117,Fiber,,1 949,,1 949
119,BMS,10 000 000,600 000,,600 000
122,Rig and temp,10 000 000,(3 000 000),,7 000 000
100,Fit-out of 2nd part of datahall QC - Estimated net costs,,77 976 779,,77 976 779
100,Income TOBs and CDU hoses Carter,,23 441 639,,(23 441 639)
